epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
40,7299.25,0.53821,0.80711,1.05855,0.62045,0.54598,0.47911,0.39581,0.60845,2.2677,1.14912,0.00339193,0.00113064,0.00339193,0.00113064,0.00339193,0.00113064,0.00339193,0.00113064
41,7476.65,0.55777,0.82475,1.08097,0.67384,0.51724,0.48464,0.39885,0.59169,2.26453,1.13061,0.00335067,0.00111689,0.00335067,0.00111689,0.00335067,0.00111689,0.00335067,0.00111689
42,7654.54,0.55128,0.77399,1.08575,0.6725,0.51175,0.46338,0.38892,0.58319,2.28495,1.09927,0.00330941,0.00110314,0.00330941,0.00110314,0.00330941,0.00110314,0.00330941,0.00110314
43,7832.04,0.53954,0.81387,1.06575,0.62575,0.55314,0.49183,0.4056,0.58685,2.21403,1.12922,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938
44,8003.48,0.57442,0.82935,1.09994,0.51408,0.5349,0.49715,0.41295,0.592,2.15868,1.12989,0.0032269,0.00107563,0.0032269,0.00107563,0.0032269,0.00107563,0.0032269,0.00107563
45,8182.91,0.53369,0.80723,1.05686,0.63157,0.46552,0.45671,0.38866,0.58549,2.23205,1.11015,0.00318564,0.00106188,0.00318564,0.00106188,0.00318564,0.00106188,0.00318564,0.00106188
46,8361.98,0.55437,0.7916,1.07762,0.68446,0.49422,0.44203,0.36915,0.58148,2.3149,1.11387,0.00314438,0.00104813,0.00314438,0.00104813,0.00314438,0.00104813,0.00314438,0.00104813
47,8539.92,0.5303,0.77043,1.06187,0.61553,0.51724,0.43986,0.36448,0.56268,2.34925,1.08612,0.00310312,0.00103437,0.00310312,0.00103437,0.00310312,0.00103437,0.00310312,0.00103437
48,8720.19,0.51921,0.77402,1.05444,0.60973,0.55954,0.4389,0.36916,0.5533,2.29032,1.07806,0.00306186,0.00102062,0.00306186,0.00102062,0.00306186,0.00102062,0.00306186,0.00102062
49,8899.76,0.49862,0.74204,1.04632,0.6327,0.47701,0.45211,0.3802,0.56103,2.23425,1.10025,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687
50,9081.06,0.51508,0.72558,1.05057,0.63436,0.49407,0.45596,0.38447,0.57453,2.22808,1.11144,0.00297935,0.000993115,0.00297935,0.000993115,0.00297935,0.000993115,0.00297935,0.000993115
51,9260.69,0.54446,0.76867,1.07505,0.61769,0.51249,0.46539,0.39616,0.55387,2.199,1.07996,0.00293809,0.000979362,0.00293809,0.000979362,0.00293809,0.000979362,0.00293809,0.000979362
